DESCRICAO_EVENTO,CASE_ID,DATA_HORA_EVENTO,RESPONSAVEL_EVENTO,_PROCESSING_TIMESTAMP
01.00 - Reserva realizada,68318,2021-04-18 16:19:48,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,68270,2021-04-18 16:19:52,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,67895,2021-04-18 16:20:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,70507,2021-04-18 16:21:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,70178,2021-04-18 16:21:22,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,70816,2021-04-18 16:21:59,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,70857,2021-04-18 16:22:08,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69492,2021-04-18 16:30:43,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69648,2021-04-18 16:30:51,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69251,2021-04-18 16:31:16,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69442,2021-04-18 16:31:35,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69364,2021-04-18 16:31:39,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69945,2021-04-18 16:32:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,70018,2021-04-18 16:32:30,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69891,2021-04-18 16:33:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,69804,2021-04-18 16:33:24,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65154,2021-04-24 12:26:43,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65093,2021-04-24 12:26:43,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64813,2021-04-24 12:26:57,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64825,2021-04-24 12:26:57,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64933,2021-04-24 12:27:19,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65239,2021-04-24 12:31:45,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65231,2021-04-24 12:38:26,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65358,2021-04-24 12:38:31,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65331,2021-04-24 12:38:48,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64131,2021-04-24 12:38:51,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64267,2021-04-24 12:39:14,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63866,2021-04-24 12:39:41,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64044,2021-04-24 12:39:49,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63950,2021-04-24 12:39:53,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64573,2021-04-24 12:43:41,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64694,2021-04-24 12:43:56,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64685,2021-04-24 12:43:56,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,64465,2021-04-24 12:44:28,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66628,2021-04-24 12:45:27,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66576,2021-04-24 12:45:39,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,67013,2021-04-24 12:47:03,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66012,2021-04-24 12:47:55,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65852,2021-04-24 12:47:55,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,65854,2021-04-24 12:48:32,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66434,2021-04-24 12:48:56,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66467,2021-04-24 12:49:02,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66150,2021-04-24 12:49:09,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,66191,2021-04-24 12:49:24,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76233,2021-04-24 12:51:09,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76408,2021-04-24 12:51:10,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,75981,2021-04-24 12:51:41,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76133,2021-04-24 12:52:11,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74946,2021-04-24 12:52:21,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74680,2021-04-24 12:53:03,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74745,2021-04-24 13:12:57,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,75491,2021-04-24 13:13:15,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,75451,2021-04-24 13:13:35,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,75218,2021-04-24 13:14:13,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,75217,2021-04-24 13:14:13,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77728,2021-04-24 13:14:36,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77368,2021-04-24 13:15:15,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77473,2021-04-24 13:15:33,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,78041,2021-04-24 13:15:49,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,78182,2021-04-24 13:15:53,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,78150,2021-04-24 13:16:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,78156,2021-04-24 13:16:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77932,2021-04-24 13:16:49,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76707,2021-04-24 13:16:57,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76662,2021-04-24 13:17:01,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76859,2021-04-24 13:17:17,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76465,2021-04-24 13:17:41,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76474,2021-04-24 13:17:41,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77306,2021-04-24 13:18:24,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76949,2021-04-24 13:18:44,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,76955,2021-04-24 13:18:51,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,77020,2021-04-24 13:19:25,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,72255,2021-04-24 14:31:40,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,72191,2021-04-24 14:31:52,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71977,2021-04-24 14:32:32,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,72420,2021-04-24 17:49:35,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,72509,2021-04-24 17:49:51,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71334,2021-04-24 17:50:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71345,2021-04-24 17:50:10,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71461,2021-04-24 17:50:30,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71247,2021-04-24 17:51:16,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71147,2021-04-24 17:51:26,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71170,2021-04-24 17:51:33,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71726,2021-04-24 17:51:46,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71754,2021-04-24 17:51:54,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71890,2021-04-24 17:52:01,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71919,2021-04-24 17:52:09,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71901,2021-04-24 17:52:10,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,71616,2021-04-24 17:53:00,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73988,2021-04-24 17:53:33,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73912,2021-04-24 17:54:23,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74479,2021-04-24 17:54:45,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74468,2021-04-24 17:54:47,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74594,2021-04-24 17:55:14,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74613,2021-04-24 17:55:17,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,74379,2021-04-24 17:56:17,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73184,2021-04-24 17:57:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,72938,2021-04-24 18:06:43,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73584,2021-04-24 18:07:03,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73509,2021-04-24 18:07:09,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73375,2021-04-24 18:07:45,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,73478,2021-04-24 18:08:06,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54416,2021-04-24 18:08:29,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54412,2021-04-24 18:08:29,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54478,2021-04-24 18:08:45,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54358,2021-04-24 18:09:02,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54372,2021-04-24 18:09:06,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54318,2021-04-24 18:09:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54317,2021-04-24 18:09:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54720,2021-04-24 18:09:16,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54686,2021-04-24 18:09:24,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54770,2021-04-24 18:09:44,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54767,2021-04-24 18:09:47,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54659,2021-04-24 18:10:07,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54624,2021-04-24 18:10:11,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53844,2021-04-24 18:10:30,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53888,2021-04-24 18:10:55,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53727,2021-04-24 18:11:12,Sherry Berg,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55601,2021-05-02 10:52:25,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55448,2021-05-02 10:52:47,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55474,2021-05-02 11:00:40,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55853,2021-05-02 11:00:48,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55832,2021-05-02 11:00:57,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55884,2021-05-02 11:01:02,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55906,2021-05-02 11:01:18,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55022,2021-05-02 11:33:55,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54974,2021-05-02 11:34:01,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55080,2021-05-02 11:34:03,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55064,2021-05-02 11:34:09,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,54817,2021-05-02 11:34:25,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55273,2021-05-02 12:11:58,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55319,2021-05-02 12:41:50,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55337,2021-05-02 12:41:55,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,55125,2021-05-02 12:42:07,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53486,2021-05-02 12:43:43,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53559,2021-05-02 12:43:48,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53075,2021-05-02 12:43:59,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53203,2021-05-02 12:44:08,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,53124,2021-05-02 12:44:15,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61196,2021-05-02 12:44:38,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61235,2021-05-02 12:44:40,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61227,2021-05-02 12:44:43,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61116,2021-05-02 12:45:43,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61720,2021-05-02 12:46:05,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61632,2021-05-02 12:46:09,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61660,2021-05-02 12:46:12,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61816,2021-05-02 12:46:19,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61791,2021-05-02 12:46:33,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60146,2021-05-02 12:47:33,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60084,2021-05-02 12:48:23,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60118,2021-05-02 12:48:30,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60024,2021-05-02 12:48:34,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60389,2021-05-02 12:49:34,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60612,2021-05-02 12:49:56,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,60556,2021-05-02 12:50:02,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63204,2021-05-02 12:50:15,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63154,2021-05-02 12:50:21,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63088,2021-05-02 12:51:20,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63068,2021-05-02 12:51:26,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63691,2021-05-02 12:51:46,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63722,2021-05-02 12:52:14,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,49226,2021-05-02 13:06:14,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,49227,2021-05-02 13:06:14,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,49339,2021-05-02 13:06:24,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,46578,2021-05-02 13:07:50,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,46930,2021-05-02 13:08:27,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,46734,2021-05-02 13:08:38,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,46840,2021-05-02 13:09:01,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,63345,2021-05-02 16:16:16,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62128,2021-05-02 16:17:12,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62338,2021-05-02 16:17:28,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,61884,2021-05-02 16:17:59,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62045,2021-05-02 16:18:26,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62660,2021-05-02 16:18:54,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62794,2021-05-02 16:19:15,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62814,2021-05-02 16:19:17,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62468,2021-05-02 16:19:46,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62459,2021-05-02 16:19:46,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62481,2021-05-02 16:20:21,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,62522,2021-05-02 16:20:25,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,57156,2021-05-02 16:22:04,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,57841,2021-05-02 16:23:16,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,56907,2021-05-02 17:18:45,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,56521,2021-05-02 17:19:09,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,56503,2021-05-02 17:19:26,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,56585,2021-05-02 17:19:44,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59193,2021-05-02 17:20:09,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59372,2021-05-02 17:20:21,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59056,2021-05-02 17:21:13,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59699,2021-05-02 17:21:41,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59512,2021-05-02 17:22:09,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,59434,2021-05-02 17:22:21,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58271,2021-05-02 17:22:56,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58373,2021-05-02 17:23:13,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58302,2021-05-02 17:23:21,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58325,2021-05-02 17:23:27,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58024,2021-05-02 17:23:39,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,57981,2021-05-02 17:23:48,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,57974,2021-05-02 17:23:48,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58737,2021-05-02 17:24:17,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58716,2021-05-02 17:24:31,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58862,2021-05-02 17:24:32,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58797,2021-05-02 17:24:49,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58791,2021-05-02 17:24:49,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58505,2021-05-02 17:24:58,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58479,2021-05-02 17:25:04,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,58552,2021-05-02 17:25:35,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99064,2021-05-02 17:25:52,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99332,2021-05-02 17:25:53,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99300,2021-05-02 17:25:59,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99022,2021-05-02 17:26:11,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,99171,2021-05-02 17:26:22,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,97915,2021-05-02 17:26:28,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,97751,2021-05-02 17:26:35,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,92730,2021-05-02 17:26:46,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,92610,2021-05-02 17:26:49,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,92428,2021-05-02 17:27:23,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,92575,2021-05-02 17:27:56,Paul Jones,2022-11-22 00:02:07.666219
01.00 - Reserva realizada,92585,2021-05-02 17:27:57,Paul Jones,2022-11-22 00:02:07.666219
